50.5668 	EXP 	text: height = 0.05
50.5668 	EXP 	text: height = 0.05
50.5668 	EXP 	text: height = 0.05
50.5668 	EXP 	text: text = 'GBP 40 today or GBP 51 after 76 days'
50.5668 	EXP 	Fixation: autoDraw = True
51.5489 	EXP 	text: autoDraw = True
51.5657 	EXP 	Fixation: autoDraw = False
52.1678 	EXP 	New trial (rep=0, index=31): {'reward_today': 29, 'future_reward': 40, 'delay': 98}
52.1776 	DATA 	Keypress: l
52.1827 	EXP 	Fixation: autoDraw = False
52.1827 	EXP 	text: autoDraw = False
52.1827 	EXP 	text: height = 0.05
52.1827 	EXP 	text: height = 0.05
52.1827 	EXP 	text: height = 0.05
52.1827 	EXP 	text: text = 'GBP 29 today or GBP 40 after 98 days'
52.1827 	EXP 	Fixation: autoDraw = True
53.1656 	EXP 	text: autoDraw = True
53.1722 	EXP 	Fixation: autoDraw = False
53.7508 	EXP 	New trial (rep=0, index=32): {'reward_today': 49, 'future_reward': 63, 'delay': 63}
53.7607 	DATA 	Keypress: l
53.7659 	EXP 	Fixation: autoDraw = False
53.7659 	EXP 	text: autoDraw = False
53.7659 	EXP 	text: height = 0.05
53.7659 	EXP 	text: height = 0.05
53.7659 	EXP 	text: height = 0.05
53.7659 	EXP 	text: text = 'GBP 49 today or GBP 63 after 63 days'
53.7659 	EXP 	Fixation: autoDraw = True
54.7490 	EXP 	text: autoDraw = True
54.7556 	EXP 	Fixation: autoDraw = False
55.3572 	EXP 	New trial (rep=0, index=33): {'reward_today': 47, 'future_reward': 66, 'delay': 52}
55.3672 	DATA 	Keypress: l
55.3722 	EXP 	Fixation: autoDraw = False
55.3722 	EXP 	text: autoDraw = False
55.3722 	EXP 	text: height = 0.05
55.3722 	EXP 	text: height = 0.05
55.3722 	EXP 	text: height = 0.05
55.3722 	EXP 	text: text = 'GBP 47 today or GBP 66 after 52 days'
55.3722 	EXP 	Fixation: autoDraw = True
56.3582 	EXP 	text: autoDraw = True
56.3649 	EXP 	Fixation: autoDraw = False
57.2748 	EXP 	New trial (rep=0, index=34): {'reward_today': 48, 'future_reward': 70, 'delay': 42}
57.2849 	DATA 	Keypress: t
57.2896 	EXP 	Fixation: autoDraw = False
57.2896 	EXP 	text: autoDraw = False
57.2896 	EXP 	text: height = 0.05
57.2896 	EXP 	text: height = 0.05
57.2896 	EXP 	text: height = 0.05
57.2896 	EXP 	text: text = 'GBP 48 today or GBP 70 after 42 days'
57.2896 	EXP 	Fixation: autoDraw = True
58.2740 	EXP 	text: autoDraw = True
58.2824 	EXP 	Fixation: autoDraw = False
59.5403 	EXP 	New trial (rep=0, index=35): {'reward_today': 16, 'future_reward': 43, 'delay': 16}
59.5507 	DATA 	Keypress: l
59.5554 	EXP 	Fixation: autoDraw = False
59.5554 	EXP 	text: autoDraw = False
59.5554 	EXP 	text: height = 0.05
59.5554 	EXP 	text: height = 0.05
59.5554 	EXP 	text: height = 0.05
59.5554 	EXP 	text: text = 'GBP 16 today or GBP 43 after 16 days'
59.5554 	EXP 	Fixation: autoDraw = True
60.5329 	EXP 	text: autoDraw = True
60.5496 	EXP 	Fixation: autoDraw = False
61.2512 	EXP 	New trial (rep=0, index=36): {'reward_today': 14, 'future_reward': 64, 'delay': 24}
61.2609 	DATA 	Keypress: l
61.2657 	EXP 	Fixation: autoDraw = False
61.2657 	EXP 	text: autoDraw = False
61.2657 	EXP 	text: height = 0.05
61.2657 	EXP 	text: height = 0.05
61.2657 	EXP 	text: height = 0.05
61.2657 	EXP 	text: text = 'GBP 14 today or GBP 64 after 24 days'
61.2657 	EXP 	Fixation: autoDraw = True
62.2493 	EXP 	text: autoDraw = True
62.2561 	EXP 	Fixation: autoDraw = False
62.8681 	EXP 	New trial (rep=0, index=37): {'reward_today': 48, 'future_reward': 52, 'delay': 50}
62.8785 	DATA 	Keypress: l
62.8836 	EXP 	Fixation: autoDraw = False
62.8836 	EXP 	text: autoDraw = False
62.8836 	EXP 	text: height = 0.05
62.8836 	EXP 	text: height = 0.05
62.8836 	EXP 	text: height = 0.05
62.8836 	EXP 	text: text = 'GBP 48 today or GBP 52 after 50 days'
62.8836 	EXP 	Fixation: autoDraw = True
63.8659 	EXP 	text: autoDraw = True
63.8730 	EXP 	Fixation: autoDraw = False
64.3015 	EXP 	New trial (rep=0, index=38): {'reward_today': 15, 'future_reward': 55, 'delay': 56}
64.3117 	DATA 	Keypress: l
64.3167 	EXP 	Fixation: autoDraw = False
64.3167 	EXP 	text: autoDraw = False
64.3167 	EXP 	text: height = 0.05
64.3167 	EXP 	text: height = 0.05
64.3167 	EXP 	text: height = 0.05
64.3167 	EXP 	text: text = 'GBP 15 today or GBP 55 after 56 days'
64.3167 	EXP 	Fixation: autoDraw = True
65.2994 	EXP 	text: autoDraw = True
65.3061 	EXP 	Fixation: autoDraw = False
65.7685 	EXP 	New trial (rep=0, index=39): {'reward_today': 44, 'future_reward': 89, 'delay': 83}
65.7788 	DATA 	Keypress: t
65.7840 	EXP 	Fixation: autoDraw = False
65.7840 	EXP 	text: autoDraw = False
65.7840 	EXP 	text: height = 0.05
65.7840 	EXP 	text: height = 0.05
65.7840 	EXP 	text: height = 0.05
65.7840 	EXP 	text: text = 'GBP 44 today or GBP 89 after 83 days'
65.7840 	EXP 	Fixation: autoDraw = True
66.7660 	EXP 	text: autoDraw = True
66.7826 	EXP 	Fixation: autoDraw = False
67.3346 	EXP 	New trial (rep=0, index=40): {'reward_today': 39, 'future_reward': 61, 'delay': 48}
67.3441 	DATA 	Keypress: t
67.3493 	EXP 	Fixation: autoDraw = False
67.3493 	EXP 	text: autoDraw = False
67.3493 	EXP 	text: height = 0.05
67.3493 	EXP 	text: height = 0.05
67.3493 	EXP 	text: height = 0.05
67.3493 	EXP 	text: text = 'GBP 39 today or GBP 61 after 48 days'
67.3493 	EXP 	Fixation: autoDraw = True
68.3328 	EXP 	text: autoDraw = True
68.3394 	EXP 	Fixation: autoDraw = False
69.4077 	EXP 	New trial (rep=0, index=41): {'reward_today': 46, 'future_reward': 57, 'delay': 37}
69.4174 	DATA 	Keypress: l
69.4224 	EXP 	Fixation: autoDraw = False
69.4224 	EXP 	text: autoDraw = False
69.4224 	EXP 	text: height = 0.05
69.4224 	EXP 	text: height = 0.05
69.4224 	EXP 	text: height = 0.05
69.4224 	EXP 	text: text = 'GBP 46 today or GBP 57 after 37 days'
69.4224 	EXP 	Fixation: autoDraw = True
70.4087 	EXP 	text: autoDraw = True
70.4155 	EXP 	Fixation: autoDraw = False
71.4746 	EXP 	New trial (rep=0, index=42): {'reward_today': 11, 'future_reward': 30, 'delay': 7}
71.4847 	DATA 	Keypress: t
71.4897 	EXP 	Fixation: autoDraw = False
71.4897 	EXP 	text: autoDraw = False
71.4897 	EXP 	text: height = 0.05
71.4897 	EXP 	text: height = 0.05
71.4897 	EXP 	text: height = 0.05
71.4897 	EXP 	text: text = 'GBP 11 today or GBP 30 after 7 days'
71.4897 	EXP 	Fixation: autoDraw = True
72.4749 	EXP 	text: autoDraw = True
72.4829 	EXP 	Fixation: autoDraw = False
73.1412 	EXP 	New trial (rep=0, index=43): {'reward_today': 43, 'future_reward': 61, 'delay': 41}
73.1512 	DATA 	Keypress: l
73.1558 	EXP 	Fixation: autoDraw = False
73.1558 	EXP 	text: autoDraw = False
73.1558 	EXP 	text: height = 0.05
73.1558 	EXP 	text: height = 0.05
73.1558 	EXP 	text: height = 0.05
73.1558 	EXP 	text: text = 'GBP 43 today or GBP 61 after 41 days'
73.1558 	EXP 	Fixation: autoDraw = True
74.1329 	EXP 	text: autoDraw = True
74.1497 	EXP 	Fixation: autoDraw = False
